src_ip,dst_ip,src_port,dst_port,protocol,packet_size,traffic_type,priority,min_bandwidth,max_latency,max_jitter
10.0.0.1,10.0.0.3,12345,80,TCP,1200,HTTP,1,100,500,200
10.0.0.1,10.0.0.3,12346,443,TCP,1400,HTTP,1,100,500,200
10.0.0.1,10.0.0.3,12347,8080,TCP,1100,HTTP,1,100,500,200
10.0.0.2,10.0.0.4,54321,554,TCP,1400,Video,2,500,200,100
10.0.0.2,10.0.0.4,54322,5004,UDP,1300,Video,2,500,200,100
10.0.0.2,10.0.0.4,54323,1935,TCP,1500,Video,2,500,200,100
10.0.0.3,10.0.0.5,16384,5060,UDP,160,VoIP,3,64,50,30
10.0.0.3,10.0.0.5,16385,5061,UDP,180,VoIP,3,64,50,30
10.0.0.3,10.0.0.5,20000,16384,UDP,200,VoIP,3,64,50,30
10.0.0.4,10.0.0.6,8765,21,TCP,1500,FTP,0,50,1000,500
10.0.0.4,10.0.0.6,8766,20,TCP,1500,FTP,0,50,1000,500
10.0.0.4,10.0.0.6,8767,22,TCP,1200,FTP,0,50,1000,500
10.0.0.5,10.0.0.1,27015,27015,UDP,200,Gaming,3,100,100,50
10.0.0.5,10.0.0.1,27016,27016,UDP,250,Gaming,3,100,100,50
10.0.0.5,10.0.0.1,27017,27017,UDP,180,Gaming,3,100,100,50
