feature,importance,rank
backward_packets,0.23338163582909088,13
forward_packets,0.19056373449565306,12
packet_count,0.17586863812651563,2
protocol_tcp,0.13406123719368976,10
byte_count,0.07499716003283907,3
protocol_udp,0.06914468893534276,11
avg_packet_size,0.06450994474991627,4
dst_port,0.02329687648288225,9
avg_inter_arrival_time,0.01577836338471867,6
std_inter_arrival_time,0.005902851920628079,7
std_packet_size,0.005763330902082737,5
flow_bytes_per_sec,0.003186431606890276,14
duration,0.002435130704708868,1
src_port,0.0011099756350418106,8
